EmployeeID,Department,JobRole,HireDate,YearsAtCompany,MonthlyIncome,OverTime,EngagementScore,PTOUsed,RemoteWorkPct,PerformanceScore,EducationLevel,Attrition,ExitReason
30,Finance,Financial Analyst,2016-01-22,10.1,6947.93,Yes,52.5,20,72.6,Above Average,Masters,No,
31,Finance,Financial Analyst,2022-07-21,3.6,8186.55,Yes,56.4,22,7.9,Low,PhD,No,
32,Engineering,Software Engineer,2017-02-23,9.01,9880.29,Yes,100.0,10,33.0,High,PhD,Yes,Burnout
33,HR,Recruiter,2017-10-20,8.35,7149.48,Yes,62.4,7,52.1,Above Average,High School,Yes,Career Change
34,Engineering,Software Engineer,2023-06-14,2.7,7406.54,Yes,77.1,10,96.5,Below Average,PhD,No,
35,Sales,Sales Manager,2015-08-29,10.5,5825.12,Yes,65.2,19,13.1,Above Average,High School,No,
36,HR,Recruiter,2018-03-14,7.96,7341.19,No,89.6,6,55.5,High,PhD,No,
37,HR,HR Manager,2015-08-28,10.5,7389.82,Yes,81.7,8,10.4,Average,High School,Yes,Manager Conflict
38,Marketing,Marketing Manager,2015-08-21,10.52,7782.91,Yes,74.5,16,60.4,Below Average,High School,No,
39,Operations,Operations Manager,2019-07-12,6.63,5979.96,Yes,73.5,16,28.6,High,Bachelors,No,
40,Engineering,DevOps Engineer,2015-12-02,10.24,11798.66,No,77.1,9,69.7,High,Masters,No,
41,Sales,Sales Manager,2017-09-04,8.48,5537.98,No,81.8,20,25.4,Above Average,Bachelors,No,
42,HR,Recruiter,2018-07-19,7.61,8445.06,Yes,76.2,19,100.0,Low,PhD,No,
43,Marketing,Marketing Manager,2015-10-28,10.33,6631.92,Yes,58.7,10,25.5,High,Masters,Yes,Relocation
44,Engineering,Software Engineer,2019-02-22,7.01,8884.35,No,75.1,16,74.8,Below Average,PhD,No,
45,Operations,Business Analyst,2021-11-10,4.29,7019.5,Yes,91.8,13,100.0,High,Masters,No,
46,Engineering,Software Engineer,2017-12-19,8.19,9938.5,Yes,57.1,9,64.5,Low,Bachelors,No,
47,Marketing,Marketing Manager,2023-01-18,3.1,6664.81,No,80.7,17,47.8,Below Average,Masters,No,
48,HR,HR Manager,2016-01-14,10.12,5729.81,No,47.3,12,75.7,Average,High School,Yes,Burnout
49,Operations,Business Analyst,2016-10-23,9.35,7321.14,No,51.3,15,61.6,High,PhD,No,
50,Engineering,Software Engineer,2024-11-26,1.25,7674.21,Yes,72.3,15,15.7,High,High School,No,
51,Marketing,Marketing Manager,2019-10-27,6.33,7536.68,Yes,78.4,20,81.6,Low,Masters,No,
52,Engineering,Data Scientist,2017-05-10,8.8,6933.5,Yes,55.9,17,65.4,Low,Masters,No,
53,Finance,Financial Analyst,2017-08-27,8.5,7772.57,Yes,100.0,17,84.1,Below Average,PhD,Yes,
54,HR,Recruiter,2023-12-30,2.16,8431.0,Yes,79.8,13,72.8,Average,Bachelors,No,
55,Engineering,Data Scientist,2024-10-12,1.37,7840.76,Yes,66.4,12,52.5,Above Average,Bachelors,Yes,Manager Conflict
56,HR,Recruiter,2024-03-14,1.95,10471.99,Yes,42.0,18,1.6,Below Average,High School,No,
57,Finance,Accountant,2018-02-15,8.03,6292.1,Yes,86.3,15,17.7,Average,Masters,No,
58,Finance,Accountant,2015-04-24,10.85,5927.04,Yes,80.2,11,56.5,Average,Bachelors,No,
59,HR,HR Manager,2016-03-20,9.94,7068.36,No,60.2,25,69.0,Average,Masters,No,
60,Marketing,Marketing Manager,2019-04-27,6.84,3962.29,Yes,72.8,11,75.6,Average,High School,No,
61,Engineering,DevOps Engineer,2024-01-17,2.11,7811.22,Yes,68.3,17,76.0,Average,PhD,Yes,
62,HR,Recruiter,2022-06-10,3.71,5199.56,Yes,65.0,12,30.4,Average,Masters,No,
63,HR,Recruiter,2022-10-26,3.33,9648.18,No,76.1,8,77.5,High,Bachelors,No,
64,Operations,Business Analyst,2022-08-06,3.56,10183.23,Yes,85.5,7,35.5,High,Masters,No,
65,Engineering,Data Scientist,2018-03-21,7.94,10900.37,Yes,59.4,17,73.2,Above Average,Masters,No,
66,Finance,Financial Analyst,2020-09-24,5.42,5609.6,No,69.1,0,19.3,Below Average,High School,No,
67,Operations,Business Analyst,2016-01-18,10.11,6621.15,Yes,51.3,23,7.1,Average,Bachelors,No,
68,Sales,Account Executive,2015-07-09,10.64,6339.93,Yes,72.0,22,6.9,Above Average,High School,No,
69,Operations,Operations Manager,2023-01-21,3.1,8744.75,No,70.2,10,63.9,Above Average,PhD,No,
70,Operations,Operations Manager,2023-06-03,2.73,7298.59,Yes,61.0,15,38.4,Above Average,Bachelors,Yes,
71,Marketing,Content Strategist,2015-07-25,10.59,7170.28,Yes,79.9,22,12.9,Low,PhD,Yes,Manager Conflict
72,Operations,Business Analyst,2023-06-21,2.68,10199.55,No,40.7,14,67.6,High,PhD,No,
73,Marketing,Content Strategist,2016-10-13,9.37,7421.49,No,60.7,13,35.2,Above Average,Masters,No,
74,Operations,Business Analyst,2023-08-03,2.56,6115.95,No,82.7,16,29.2,Below Average,Masters,No,
75,Operations,Business Analyst,2017-08-18,8.53,8349.4,No,74.6,19,68.9,Average,Masters,No,
76,Engineering,Software Engineer,2016-09-09,9.47,7756.51,Yes,61.6,18,68.3,Above Average,Bachelors,No,
77,Engineering,Data Scientist,2019-07-28,6.58,8968.65,No,71.8,21,32.3,High,PhD,No,
78,Sales,Sales Manager,2019-05-15,6.79,7820.65,Yes,67.0,13,83.0,High,PhD,No,
79,HR,Recruiter,2023-06-14,2.7,8238.12,No,82.2,21,50.6,Above Average,Bachelors,No,
80,HR,Recruiter,2020-06-12,5.71,8022.93,Yes,65.3,16,46.1,Above Average,Masters,No,
81,Finance,Financial Analyst,2024-06-04,1.73,7145.49,No,78.9,10,100.0,Below Average,High School,No,
82,Marketing,Marketing Manager,2015-12-10,10.22,5490.97,No,51.8,20,73.7,Below Average,PhD,No,
83,HR,Recruiter,2018-09-02,7.48,7936.18,Yes,79.4,14,23.1,Above Average,Masters,No,
84,Finance,Accountant,2023-06-08,2.72,7113.71,No,59.8,19,45.6,Average,High School,No,
85,Operations,Operations Manager,2018-12-04,7.23,5761.75,Yes,65.2,17,33.1,Low,High School,No,
86,Sales,Account Executive,2024-05-30,1.74,5766.67,Yes,73.7,16,34.8,High,Bachelors,Yes,Manager Conflict
87,Operations,Operations Manager,2021-04-29,4.83,6293.44,Yes,73.5,7,7.8,Above Average,Masters,No,
88,Sales,Account Executive,2023-09-21,2.43,5922.33,Yes,66.8,16,94.3,Average,High School,No,
89,HR,Recruiter,2019-06-13,6.71,8286.49,Yes,67.6,14,19.9,Low,Bachelors,Yes,Relocation
90,Operations,Operations Manager,2023-12-06,2.22,6972.23,Yes,65.7,16,25.2,Average,PhD,No,
91,Engineering,DevOps Engineer,2022-04-06,3.89,9779.02,No,93.0,14,62.1,Low,PhD,No,
92,Engineering,Data Scientist,2019-01-23,7.09,10035.22,No,64.0,16,50.4,Below Average,PhD,No,
93,Marketing,Content Strategist,2021-11-27,4.25,7146.51,No,58.4,15,64.9,Above Average,PhD,No,
94,Marketing,Content Strategist,2018-08-13,7.54,9176.72,Yes,84.4,25,27.0,Low,Masters,No,
95,Sales,Sales Manager,2021-05-23,4.76,8308.48,No,72.8,25,25.8,Average,High School,No,
96,HR,HR Manager,2020-06-20,5.68,5740.42,Yes,61.0,4,34.2,Average,Masters,No,
97,Marketing,Content Strategist,2021-03-26,4.92,5861.3,Yes,72.3,16,100.0,High,Bachelors,Yes,
98,Finance,Accountant,2021-03-24,4.93,8425.64,Yes,61.3,10,64.8,Above Average,PhD,No,
99,Engineering,Software Engineer,2018-04-20,7.85,7019.65,Yes,97.5,20,35.9,Above Average,Bachelors,No,
100,Marketing,Content Strategist,2020-04-22,5.85,4430.3,No,90.3,14,87.1,Above Average,Masters,No,
101,Finance,Accountant,2018-06-09,7.72,4608.36,No,61.0,15,51.4,Below Average,High School,No,
102,HR,HR Manager,2023-05-01,2.82,6324.9,Yes,79.3,9,45.7,Below Average,Bachelors,No,
103,HR,Recruiter,2016-02-16,10.03,7180.44,Yes,77.7,18,16.3,Average,Bachelors,No,
104,HR,HR Manager,2022-12-10,3.21,4698.83,Yes,89.2,16,27.5,Average,High School,No,
105,Marketing,Content Strategist,2022-10-27,3.33,9326.73,Yes,71.7,20,52.0,Above Average,High School,No,
106,Marketing,Content Strategist,2020-04-06,5.89,10091.12,No,96.3,13,79.1,Above Average,Masters,No,
107,Engineering,Data Scientist,2024-08-30,1.49,9968.06,No,90.5,10,70.6,Low,High School,No,
108,Engineering,DevOps Engineer,2022-01-22,4.09,10587.64,Yes,43.6,9,0.0,Below Average,Bachelors,No,
109,HR,HR Manager,2017-10-13,8.37,6595.89,Yes,80.8,22,52.2,High,PhD,No,
110,Marketing,Marketing Manager,2023-09-13,2.45,9442.92,No,49.3,6,48.3,Above Average,PhD,Yes,Career Change
111,Finance,Accountant,2021-05-18,4.78,7576.1,Yes,69.5,4,47.3,High,High School,No,
112,Sales,Account Executive,2017-12-19,8.19,5043.3,Yes,80.0,16,21.8,Below Average,Bachelors,Yes,Better Offer
113,Sales,Account Executive,2019-08-01,6.57,6229.2,No,54.1,14,78.7,High,PhD,No,
114,Sales,Sales Manager,2022-12-05,3.22,5521.41,No,77.6,12,26.2,Above Average,High School,No,
115,HR,HR Manager,2019-10-08,6.39,6839.45,Yes,54.5,12,14.1,High,Bachelors,No,
116,HR,HR Manager,2015-10-20,10.36,9947.09,Yes,70.5,11,56.4,Below Average,Masters,No,
117,Marketing,Content Strategist,2019-12-04,6.23,6831.51,Yes,66.7,18,72.7,Above Average,Masters,No,
118,HR,Recruiter,2019-11-29,6.24,6204.25,Yes,61.4,13,0.0,High,High School,No,
119,Operations,Business Analyst,2021-10-08,4.38,4727.21,No,90.5,23,42.5,Low,High School,No,
120,Operations,Operations Manager,2023-07-30,2.58,7864.84,No,74.7,30,83.6,High,High School,No,
121,Sales,Sales Manager,2020-10-26,5.33,6808.12,No,55.7,6,56.1,Average,Bachelors,No,
122,Finance,Accountant,2016-01-09,10.13,5865.47,No,48.7,11,17.6,Average,PhD,No,
123,Operations,Operations Manager,2024-08-14,1.53,9530.71,Yes,83.2,14,94.4,Average,PhD,No,
124,HR,Recruiter,2024-02-15,2.03,7116.05,Yes,57.1,22,66.2,Above Average,High School,No,
125,HR,HR Manager,2023-08-31,2.49,5444.13,No,67.1,10,8.5,High,High School,No,
126,Marketing,Content Strategist,2019-08-20,6.52,8389.27,Yes,98.6,8,66.9,Below Average,Masters,No,
127,Finance,Accountant,2023-07-10,2.63,6024.04,Yes,62.7,12,24.1,Below Average,Masters,No,
128,HR,Recruiter,2024-11-16,1.27,7072.78,No,57.5,16,48.5,Low,High School,No,
129,Marketing,Marketing Manager,2022-12-17,3.19,6641.58,Yes,56.4,12,72.7,Average,High School,No,
130,Engineering,Software Engineer,2024-06-08,1.72,9751.38,Yes,55.3,15,72.5,Above Average,High School,No,
131,Sales,Sales Manager,2023-01-14,3.12,4495.89,No,78.2,11,67.1,High,Masters,No,
132,Finance,Accountant,2017-09-25,8.42,5855.11,No,42.9,6,51.4,High,Bachelors,No,
133,Marketing,Marketing Manager,2024-09-09,1.46,7389.58,Yes,56.4,18,0.2,Average,PhD,No,
134,Marketing,Content Strategist,2024-03-14,1.95,6900.88,Yes,51.8,11,51.4,Average,Masters,No,
135,Marketing,Content Strategist,2024-09-14,1.45,5709.38,Yes,64.2,20,32.7,Above Average,PhD,No,
136,Marketing,Content Strategist,2020-02-09,6.05,8253.54,No,53.1,17,93.2,Below Average,Bachelors,No,
137,Sales,Sales Manager,2015-06-28,10.67,3292.53,No,58.0,17,43.9,Above Average,PhD,No,
138,Operations,Operations Manager,2020-07-21,5.6,7556.72,Yes,60.9,15,45.3,Below Average,Masters,No,
139,Finance,Financial Analyst,2020-11-24,5.25,8751.67,No,73.8,16,37.6,Low,Bachelors,No,
140,Operations,Operations Manager,2015-11-03,10.32,6268.59,No,63.5,16,37.4,Average,Masters,No,
141,Finance,Financial Analyst,2024-07-20,1.6,7434.66,No,100.0,19,40.2,High,PhD,No,
142,Operations,Business Analyst,2024-10-13,1.37,8801.82,Yes,63.9,4,19.8,High,High School,Yes,
143,HR,HR Manager,2023-05-17,2.78,4193.81,Yes,64.7,15,100.0,Above Average,High School,No,
144,Operations,Operations Manager,2019-12-23,6.18,7490.39,Yes,66.7,19,0.0,Average,High School,Yes,Better Offer
145,HR,Recruiter,2019-03-16,6.95,7353.42,No,81.6,7,84.3,Below Average,Bachelors,No,
146,Marketing,Marketing Manager,2016-11-27,9.25,7507.74,Yes,63.8,18,100.0,Low,PhD,No,
147,Sales,Sales Manager,2021-07-16,4.61,7272.8,Yes,73.7,12,24.5,Below Average,PhD,No,
148,Finance,Accountant,2022-06-24,3.67,8245.5,Yes,57.2,15,35.7,Above Average,Masters,No,
149,Sales,Account Executive,2019-12-15,6.2,7718.47,No,75.0,20,34.7,High,Masters,No,
150,Finance,Accountant,2020-02-15,6.03,6595.19,No,55.3,12,61.3,Below Average,PhD,No,
151,Engineering,Software Engineer,2019-04-12,6.88,10135.48,No,56.2,19,90.7,High,Masters,No,
152,HR,HR Manager,2024-04-22,1.84,7620.15,No,98.2,11,12.7,Average,High School,No,
153,Operations,Operations Manager,2021-10-19,4.35,4331.92,No,92.4,18,48.3,Average,Bachelors,No,
154,HR,HR Manager,2022-02-20,4.01,7419.95,Yes,53.1,27,53.9,High,Masters,No,
155,Operations,Operations Manager,2022-01-17,4.11,7164.09,Yes,80.9,17,56.7,Low,Masters,No,
156,Engineering,DevOps Engineer,2019-02-03,7.06,7814.29,Yes,77.1,24,90.4,Low,Masters,No,
157,Finance,Financial Analyst,2017-04-02,8.9,9389.78,Yes,62.3,10,46.2,High,Masters,No,
158,HR,HR Manager,2017-11-18,8.27,7083.59,No,86.4,6,95.9,Average,Masters,No,
159,Finance,Financial Analyst,2016-07-30,9.58,6762.99,Yes,63.6,9,0.4,Above Average,Masters,Yes,Manager Conflict
160,Engineering,Data Scientist,2021-01-06,5.14,10234.76,Yes,71.1,8,11.1,Above Average,Masters,No,
161,Operations,Business Analyst,2021-07-22,4.6,6496.32,No,95.0,13,4.9,Average,High School,No,
162,Finance,Financial Analyst,2021-12-12,4.21,6631.39,No,65.9,1,48.4,High,Bachelors,No,
163,Operations,Business Analyst,2022-11-11,3.29,6653.6,No,80.4,24,83.8,Above Average,High School,No,
164,Engineering,Data Scientist,2020-07-10,5.63,8596.67,Yes,53.4,27,51.8,Low,Bachelors,No,
165,Sales,Sales Manager,2020-02-02,6.07,7020.89,No,69.6,15,45.7,High,PhD,No,
166,Operations,Operations Manager,2024-12-05,1.22,6139.51,No,61.8,14,33.7,Low,PhD,No,
167,HR,HR Manager,2022-09-28,3.41,5930.73,No,71.6,13,95.1,Below Average,PhD,No,
168,Sales,Sales Manager,2016-02-11,10.04,3023.55,No,86.4,21,0.0,High,Masters,Yes,Relocation
169,Sales,Account Executive,2024-07-05,1.64,6485.97,No,64.4,7,26.7,Low,Bachelors,No,
170,Marketing,Marketing Manager,2015-07-27,10.59,5334.14,No,96.3,19,88.1,Below Average,Bachelors,No,
171,Sales,Account Executive,2024-04-21,1.85,8082.51,Yes,53.1,12,64.7,High,Bachelors,No,
172,Sales,Sales Manager,2023-09-07,2.47,5166.81,Yes,80.7,13,38.8,High,High School,No,
173,Sales,Account Executive,2021-01-21,5.1,8066.44,No,76.7,13,84.8,Below Average,High School,No,
174,Engineering,Software Engineer,2015-03-02,10.99,7378.41,No,79.2,17,40.7,Below Average,Masters,Yes,Relocation
175,Engineering,Software Engineer,2023-04-27,2.83,9489.2,No,51.2,19,44.5,High,High School,No,
176,Finance,Accountant,2023-09-22,2.43,6215.92,No,85.7,11,7.7,High,High School,No,
177,Sales,Account Executive,2023-02-26,3.0,4665.06,No,79.1,8,100.0,Above Average,High School,Yes,Manager Conflict
178,Finance,Accountant,2022-09-11,3.46,3877.11,Yes,95.4,16,47.1,Above Average,PhD,Yes,Better Offer
179,HR,HR Manager,2015-09-27,10.42,6182.62,Yes,76.0,14,83.1,Average,Masters,No,
180,Marketing,Content Strategist,2020-02-02,6.07,7171.34,No,72.3,13,48.3,Low,High School,No,
181,Operations,Operations Manager,2019-10-28,6.33,7461.7,No,44.3,8,72.3,Below Average,PhD,No,
182,Finance,Accountant,2019-08-31,6.49,7256.3,Yes,67.2,15,60.4,Average,PhD,No,
183,HR,Recruiter,2016-09-17,9.44,6190.36,No,58.3,15,20.6,Low,High School,No,
184,Engineering,Data Scientist,2016-01-31,10.07,9612.38,No,44.5,20,64.2,Below Average,High School,No,
185,Marketing,Content Strategist,2022-07-07,3.64,7384.04,Yes,84.7,23,80.4,Above Average,Masters,No,
186,Finance,Financial Analyst,2018-03-24,7.93,4238.69,No,50.8,11,50.8,Average,High School,No,
187,Sales,Account Executive,2022-05-13,3.79,7776.49,No,59.1,15,27.3,Below Average,High School,No,
188,Marketing,Content Strategist,2016-04-15,9.87,6082.72,No,48.9,10,9.4,High,Bachelors,No,
189,Marketing,Marketing Manager,2021-10-30,4.32,5536.19,No,85.8,10,100.0,Low,Bachelors,No,
190,HR,Recruiter,2018-12-08,7.22,7739.98,Yes,72.8,10,71.0,Below Average,Bachelors,No,
191,Finance,Financial Analyst,2016-08-04,9.56,6136.54,Yes,71.8,27,47.1,Low,Bachelors,No,
192,Finance,Accountant,2016-10-06,9.39,8723.91,No,59.5,14,100.0,Average,Masters,No,
193,Marketing,Marketing Manager,2024-11-27,1.24,6059.55,Yes,97.2,18,33.1,Below Average,Bachelors,No,
194,Engineering,DevOps Engineer,2015-12-01,10.24,9948.61,No,84.6,18,2.9,Above Average,PhD,No,
195,Finance,Accountant,2018-01-23,8.09,5909.29,Yes,66.3,14,68.6,High,High School,No,
196,Engineering,Data Scientist,2022-08-09,3.55,9266.55,No,50.0,16,68.3,High,Masters,Yes,Manager Conflict
197,Marketing,Marketing Manager,2015-02-01,11.07,7839.69,Yes,86.2,19,63.8,Average,Bachelors,No,
198,HR,Recruiter,2018-09-05,7.48,6894.75,Yes,45.1,17,56.2,Low,PhD,No,
199,Sales,Account Executive,2019-04-07,6.89,7407.37,Yes,50.8,9,81.6,High,Masters,Yes,
200,Engineering,Data Scientist,2015-03-18,10.95,8940.67,No,80.2,15,50.9,Low,Masters,No,
201,Marketing,Content Strategist,2022-12-16,3.19,8407.43,No,62.3,15,36.1,Average,High School,No,
202,HR,HR Manager,2023-12-27,2.16,6348.26,No,65.4,16,35.6,Average,High School,No,
203,Engineering,Software Engineer,2019-11-20,6.27,10883.63,No,56.6,14,36.8,High,High School,No,
204,HR,Recruiter,2017-06-26,8.67,9170.47,No,72.9,20,5.4,Below Average,High School,No,
205,Engineering,DevOps Engineer,2020-09-19,5.44,9400.58,Yes,83.3,15,82.0,Average,Masters,No,
206,Operations,Operations Manager,2017-08-25,8.51,6224.07,Yes,91.1,26,39.1,Below Average,Masters,Yes,Career Change
207,Sales,Account Executive,2016-12-26,9.17,6331.75,No,91.8,22,34.3,Above Average,PhD,No,
208,Marketing,Content Strategist,2024-09-09,1.46,6369.72,No,65.8,8,22.4,Below Average,PhD,Yes,Manager Conflict
209,Operations,Business Analyst,2023-12-06,2.22,5493.79,No,58.5,14,57.0,High,High School,No,
210,Engineering,Data Scientist,2020-03-06,5.98,11325.75,No,55.0,19,43.6,Low,High School,No,
211,HR,HR Manager,2022-03-25,3.92,6925.8,Yes,80.1,9,61.5,High,PhD,No,
212,Marketing,Marketing Manager,2020-01-17,6.11,7249.68,Yes,77.4,16,100.0,Average,PhD,No,
213,Engineering,Data Scientist,2016-02-28,10.0,8043.39,No,62.0,11,33.3,Low,Bachelors,Yes,
214,Finance,Accountant,2020-11-16,5.28,6043.92,Yes,87.8,22,32.9,Average,Masters,No,
215,Finance,Accountant,2023-09-08,2.47,5751.47,No,77.1,12,69.0,High,High School,No,
216,Operations,Business Analyst,2015-09-27,10.42,7304.38,No,47.3,22,100.0,Low,PhD,Yes,
217,Operations,Operations Manager,2018-09-27,7.42,6080.82,Yes,64.2,16,60.0,High,Bachelors,No,
218,HR,Recruiter,2016-06-12,9.71,7987.82,Yes,100.0,14,26.1,Average,PhD,No,
219,HR,HR Manager,2022-07-07,3.64,4931.02,Yes,59.0,14,100.0,Above Average,Masters,Yes,Relocation
220,Sales,Account Executive,2018-10-31,7.32,6223.58,No,73.4,14,85.7,Below Average,Bachelors,No,
221,Sales,Account Executive,2018-04-26,7.84,10790.4,Yes,62.0,12,81.3,High,High School,No,
222,Marketing,Marketing Manager,2021-09-12,4.45,8022.84,No,97.7,17,39.2,Below Average,Bachelors,No,
223,Operations,Operations Manager,2023-02-01,3.07,7885.98,No,86.6,19,65.2,Low,PhD,No,
224,Operations,Operations Manager,2019-12-25,6.17,8600.01,No,87.5,21,69.5,Above Average,Bachelors,No,
225,HR,Recruiter,2024-05-13,1.79,6749.32,Yes,72.2,21,25.5,Average,PhD,No,
226,HR,Recruiter,2020-08-21,5.52,7553.01,No,64.1,15,88.4,Below Average,Bachelors,No,
227,Sales,Sales Manager,2015-08-02,10.57,7286.65,No,70.7,8,72.4,Average,High School,No,
228,Marketing,Marketing Manager,2018-03-13,7.96,7968.23,Yes,100.0,13,56.6,Below Average,Masters,No,
229,Marketing,Marketing Manager,2024-04-26,1.83,7374.08,No,93.7,14,58.4,Low,Bachelors,No,
230,HR,HR Manager,2019-08-27,6.5,7911.84,Yes,72.8,12,55.8,Above Average,Masters,Yes,Better Offer
231,HR,HR Manager,2015-04-26,10.84,8610.45,No,54.6,15,29.0,Low,Masters,No,
232,Sales,Account Executive,2018-03-21,7.94,8792.57,No,47.2,12,61.3,Below Average,PhD,No,
233,Engineering,Software Engineer,2015-03-19,10.95,11348.29,No,69.0,12,100.0,Below Average,Bachelors,No,
234,Operations,Business Analyst,2016-03-31,9.91,4827.98,No,37.0,17,34.9,Below Average,Masters,Yes,Burnout
235,Finance,Accountant,2015-09-15,10.45,5468.15,Yes,80.6,16,33.1,Above Average,High School,No,
236,Marketing,Marketing Manager,2023-01-22,3.09,5079.54,Yes,83.1,18,47.0,Average,PhD,Yes,Relocation
237,Sales,Sales Manager,2017-02-06,9.05,9769.96,Yes,53.9,7,29.2,High,Masters,Yes,Career Change
238,Marketing,Marketing Manager,2019-05-19,6.78,6931.62,No,73.7,13,60.6,Low,PhD,No,
239,HR,HR Manager,2019-01-02,7.15,5122.69,Yes,91.7,14,83.5,Average,Bachelors,No,
240,Operations,Operations Manager,2023-08-27,2.5,7514.09,No,76.9,17,63.4,Below Average,High School,No,
241,HR,HR Manager,2024-04-24,1.84,7964.08,No,89.9,15,71.3,Above Average,Bachelors,No,
242,Engineering,DevOps Engineer,2023-09-15,2.45,8865.4,No,91.6,11,100.0,Low,Masters,No,
243,Sales,Account Executive,2018-07-16,7.62,6939.76,No,48.5,15,29.6,High,PhD,No,
244,Marketing,Content Strategist,2017-11-03,8.32,8260.97,Yes,60.2,12,0.0,Below Average,Masters,No,
245,Engineering,DevOps Engineer,2018-09-21,7.43,8321.54,No,33.6,7,72.8,Low,Masters,No,
246,Finance,Accountant,2019-05-03,6.82,8178.7,No,76.4,10,48.6,Below Average,PhD,No,
247,HR,Recruiter,2023-12-26,2.17,6994.6,Yes,52.6,22,76.3,Above Average,High School,No,
248,Sales,Sales Manager,2018-08-08,7.55,6668.55,Yes,70.4,16,0.0,Low,Masters,No,
249,HR,Recruiter,2021-10-04,4.39,6629.23,No,59.8,9,41.6,Below Average,PhD,No,
250,Engineering,DevOps Engineer,2024-10-03,1.39,11696.53,No,79.6,12,67.2,High,PhD,No,
251,Engineering,Software Engineer,2022-07-12,3.62,11099.03,No,83.9,15,30.6,Average,Bachelors,No,
252,Sales,Sales Manager,2015-05-23,10.77,8047.33,Yes,75.9,19,69.1,Low,Bachelors,No,
253,HR,Recruiter,2019-04-18,6.86,8574.33,Yes,62.0,21,55.9,High,Bachelors,No,
254,HR,Recruiter,2019-12-24,6.18,10112.89,Yes,59.7,23,55.9,High,Bachelors,No,
255,Finance,Accountant,2022-04-14,3.87,6022.87,No,62.7,13,62.7,Below Average,High School,Yes,Burnout
256,Finance,Accountant,2021-04-19,4.85,7784.25,Yes,61.4,14,100.0,Average,Masters,No,
257,Sales,Sales Manager,2022-10-13,3.37,9591.31,No,76.5,15,53.6,Below Average,High School,No,
